1:06:00:07:00,0,20
1:06:00:08:00,20,0
1:06:00:27:00,0,20
1:06:00:28:00,20,0
1:06:00:47:00,0,20
1:06:00:48:00,20,0
1:06:01:07:00,0,20
1:06:01:08:00,20,0
1:06:01:27:00,0,20
1:06:01:28:00,20,0
1:06:01:37:00,0,20
1:06:01:45:00,20,13
1:06:05:24:00,12,0
1:06:05:35:00,12,0
1:06:05:37:00,0,20
1:06:05:40:00,20,0
1:06:05:48:00,13,20
1:06:05:49:00,0,20
1:06:05:52:00,20,0
1:06:06:01:00,0,20
1:06:06:04:00,20,0
1:06:06:13:00,0,20
1:06:06:16:00,20,0
1:06:06:22:00,11,0
1:06:06:25:00,0,20
1:06:06:28:00,20,0
1:06:06:37:00,0,20
1:06:06:40:00,20,0
1:06:06:43:00,13,20
1:06:06:47:00,0,20
1:06:06:50:00,20,0
1:06:06:57:00,0,20
1:06:07:00:00,20,0
1:06:07:07:00,0,20
1:06:07:10:00,20,0
1:06:07:17:00,0,20
1:06:07:20:00,20,0
1:06:07:27:00,0,20
1:06:07:30:00,20,0
1:06:07:37:00,0,20
1:06:07:40:00,20,0
1:06:07:47:00,0,20
1:06:07:51:00,20,0
1:06:07:57:00,0,20
1:06:08:01:00,20,0
1:06:08:07:00,0,20
1:06:08:11:00,20,0
1:06:08:17:00,0,20
1:06:08:21:00,20,0
1:06:08:27:00,0,20
1:06:08:31:00,20,0
1:06:08:37:00,0,20
1:06:08:41:00,20,0
1:06:08:47:00,0,20
1:06:08:51:00,20,0
1:06:08:57:00,0,20
1:06:19:01:00,20,0
1:06:19:07:00,0,20
1:06:19:11:00,20,0
1:06:19:16:00,0,20
1:06:19:21:00,20,0
1:06:19:26:00,0,20
1:06:19:30:00,20,0
1:06:19:37:00,0,20
1:06:19:41:00,20,0
1:06:19:49:00,0,20
1:06:19:53:00,20,0
1:06:20:01:00,0,20
1:06:20:05:00,20,0
1:06:20:13:00,0,20
1:06:20:17:00,20,0
1:06:20:17:00,20,13
1:06:20:25:00,0,20
1:06:20:29:00,20,0
1:06:20:37:00,0,20
1:06:20:41:00,20,0
1:06:20:49:00,0,20
1:06:20:53:00,20,0
1:06:21:01:00,0,20
1:06:21:05:00,20,0
1:06:21:13:00,0,20
1:06:21:17:00,20,0
1:06:21:25:00,0,20
1:06:21:29:00,20,0
1:06:21:37:00,0,20
1:06:21:41:00,20,0
1:06:21:49:00,0,20
1:06:21:53:00,20,0
1:06:22:01:00,0,20
1:06:22:05:00,20,0
1:06:22:13:00,0,20
1:06:22:17:00,20,0
1:06:22:25:00,0,20
1:06:22:29:00,20,0
1:06:22:37:00,0,20
1:06:22:40:00,20,0
1:06:22:49:00,0,20
1:06:22:52:00,20,0
1:06:23:01:00,0,20
1:06:23:04:00,20,0
1:06:23:13:00,0,20
1:06:23:16:00,20,0
1:06:23:20:00,0,20
1:06:23:27:00,0,20
1:06:23:29:00,20,0
1:06:23:31:00,20,13
1:06:23:47:00,0,20
1:06:23:49:00,20,0
1:06:23:55:00,20,13
